county_fips,county_name,state,centroid_lat,centroid_lon
06011,"Colusa, CA",CA,39.17748403490377,-122.23695912321347
16029,"Caribou, ID",ID,42.77049662452163,-111.56225975044258
01021,"Chilton, AL",AL,32.84786730790755,-86.71879022444824
01027,"Clay, AL",AL,33.26902359843214,-85.8605790173855
01029,"Cleburne, AL",AL,33.67451320426218,-85.51880933254934
04023,"Santa Cruz, AZ",AZ,31.526025213071254,-110.84658768144405
01093,"Marion, AL",AL,34.13655552248483,-87.88713524898684
05053,"Grant, AR",AR,34.2900048788879,-92.42360628570306
01103,"Morgan, AL",AL,34.453468312593614,-86.85292482831042
01133,"Winston, AL",AL,34.149199476400526,-87.37366306792178
02070,"Dillingham, AK",AK,59.79906654221365,-158.23508954298435
02110,"Juneau, AK",AK,58.4546305456958,-134.17394176905725
02150,"Kodiak Island, AK",AK,57.67704281102055,-153.78058228741597
02220,"Sitka, AK",AK,57.240076864015805,-135.31525107951896
02261,"Valdez-Cordova, AK",AK,61.561955115598884,-144.46863096113154
48389,"Reeves, TX",TX,31.323027104891455,-103.69297921715525
49017,"Garfield, UT",UT,37.85488872359054,-111.44310089156464
51093,"Isle of Wight, VA",VA,36.891289154271405,-76.72584445099865
51171,"Shenandoah, VA",VA,38.858327979737226,-78.5708391705724
53021,"Franklin, WA",WA,46.53472740968529,-118.89896929575896
53055,"San Juan, WA",WA,48.578191313729214,-122.9649694394449
66010,"Guam, ",,13.443758208767042,144.7741475522864
05069,"Jefferson, AR",AR,34.268782057801374,-91.93151808720087
05107,"Phillips, AR",AR,34.42823805670895,-90.84806629246263
06041,"Marin, CA",CA,38.073385556262274,-122.72341555726408
06077,"San Joaquin, CA",CA,37.93475478900825,-121.27139238365105
08001,"Adams, CO",CO,39.873630839333046,-104.33776871204665
01059,"Franklin, AL",AL,34.44169229734741,-87.84373462807847
01097,"Mobile, AL",AL,30.78721220095308,-88.20579885923932
48283,"La Salle, TX",TX,28.345143569385925,-99.09958588722002
48401,"Rusk, TX",TX,32.107723390828596,-94.76187636543753
48459,"Upshur, TX",TX,32.73627011940828,-94.94147641687763
49037,"San Juan, UT",UT,37.62602305279816,-109.80454203031636
51027,"Buchanan, VA",VA,37.26660954262053,-82.03601380986254
51101,"King William, VA",VA,37.7066094018178,-77.0885564111526
51147,"Prince Edward, VA",VA,37.22428690866582,-78.4410707233733
51191,"Washington, VA",VA,36.72444526922581,-81.95982646492172
54003,"Berkeley, WV",WV,39.464065755093166,-78.02751272648277
54041,"Lewis, WV",WV,38.9958665461525,-80.50217410707705
42017,"Bucks, PA",PA,40.33696145403021,-75.10687580914748
05043,"Drew, AR",AR,33.58945379935467,-91.72001113881394
05049,"Fulton, AR",AR,36.38165740451262,-91.81822518817465
02020,"Anchorage, AK",AK,61.150825295280754,-149.10911748236052
04021,"Pinal, AZ",AZ,32.90439176331561,-111.34467078195728
13113,"Fayette, GA",GA,33.4139533236953,-84.49418416217284
13151,"Henry, GA",GA,33.453002479672215,-84.15420611600409
13191,"McIntosh, GA",GA,31.496659485555224,-81.40846875833735
23027,"Waldo, ME",ME,44.50275192355732,-69.14540579832808
24027,"Howard, MD",MD,39.25072395913638,-76.93118995344885
05135,"Sharp, AR",AR,36.1611416259315,-91.47985751697682
09005,"Litchfield, CT",CT,41.79248072795551,-73.24533246375512
09013,"Tolland, CT",CT,41.85504180401762,-72.33647701640963
12115,"Sarasota, FL",FL,27.184467891882765,-82.33150444148295
05101,"Newton, AR",AR,35.91997205949455,-93.21786864539573
05105,"Perry, AR",AR,34.94736989254756,-92.93144274100722
05115,"Pope, AR",AR,35.44762758047479,-93.03415221892074
05005,"Baxter, AR",AR,36.287208404293814,-92.33695011949514
05009,"Boone, AR",AR,36.30859114677833,-93.09153441501978
08021,"Conejos, CO",CO,37.20071264341812,-106.19161031666879
08039,"Elbert, CO",CO,39.28658339787681,-104.13594296760509
08059,"Jefferson, CO",CO,39.58643529411336,-105.25046903583114
01037,"Coosa, AL",AL,32.93624304249333,-86.24766160001144
08073,"Lincoln, CO",CO,38.98808784990935,-103.5139430533545
08101,"Pueblo, CO",CO,38.17352288761175,-104.51273216338602
08121,"Washington, CO",CO,39.971017521558714,-103.2012456043598
08125,"Yuma, CO",CO,40.00293654623667,-102.42424849126851
